name,aliases,description,note,time_label,time_calendar_era,time_start_year,time_end_year,time_is_approximate,regions,founders
仏教,佛教,釈迦を開祖とし南アジアから東アジアへ広がった宗教,各宗派は別 CSV で追加可能,,BCE,-500,,,インド|南アジア|東アジア,
ヒンドゥー教,ヒンズー教,インド亜大陸で形成された多様な信仰体系,特定の単独開祖を持たない,,BCE,-1500,,,インド|南アジア,
ジャイナ教,,古代インドの宗教,マハーヴィーラを中心的改革者とする,,BCE,-599,,,インド|南アジア,
シク教,,近世パンジャーブで成立した宗教,グル・ナーナクを開祖とする,,CE,1469,,,インド|南アジア,
ユダヤ教,,古代イスラエルに起源を持つ一神教,民族宗教的側面を持つ,,BCE,-1200,,,レバント|西アジア,
キリスト教,,イエスを中心とする一神教,西洋史と世界史に大きな影響を持つ,,CE,30,,,レバント|ヨーロッパ|世界,
イスラム教,イスラーム,ムハンマドを預言者とする一神教,7世紀アラビアに成立,,CE,610,,,アラビア|西アジア|北アフリカ|南アジア,
ゾロアスター教,拝火教,古代イランの宗教,サーサーン朝まで強い影響を持つ,,BCE,-1000,,,イラン|西アジア,
マニ教,,マニを開祖とする二元論的宗教,中央アジアや中国にも伝播,,CE,240,1400,true,イラン|中央アジア|中国,
儒教,,孔子の教えを中心とする思想・宗教伝統,中国と東アジア政治文化に影響,,BCE,-500,,,中国|東アジア,
道教,,中国で形成された宗教伝統,老子や道家思想と結びつく,,BCE,-400,,,中国|東アジア,
神道,,日本固有の祭祀と信仰の総称,特定の単独開祖を持たない,,BCE,-660,,,日本|東アジア,
古代エジプト宗教,,古代エジプトの多神教信仰,王権と密接に結びつく,,BCE,-3000,-30,true,エジプト|北アフリカ,
ギリシア宗教,古代ギリシア宗教,古代ギリシア世界の多神教信仰,ポリス共同体と深く結びつく,,BCE,-1200,-300,true,ギリシア|ヨーロッパ,
ローマ宗教,古代ローマ宗教,古代ローマ世界の多神教信仰,後にキリスト教へ移行,,BCE,-700,391,true,イタリア|ヨーロッパ,
北欧神話信仰,古ノルド宗教,スカンディナヴィアの前キリスト教信仰,ヴァイキング時代の宗教文化,,CE,200,1200,true,スカンディナヴィア|ヨーロッパ,
アニミズム,精霊信仰,自然物や祖霊に霊性を認める諸信仰の総称,広域で見られるため比較史用カテゴリ,,BCE,-10000,,,アフリカ|オセアニア|東南アジア,
