name,polity,aliases,note,time_label,time_calendar_era,time_start_year,time_end_year,time_is_approximate,regions
奈良朝,律令国家日本,,奈良時代の天皇家政権,,CE,710,794,false,日本|近畿|東アジア
平安朝,日本,,平安時代の天皇家政権,,CE,794,1185,false,日本|近畿|東アジア
鎌倉幕府将軍家,鎌倉幕府,,源氏将軍から得宗専制までを含む支配中枢,,CE,1192,1333,false,日本|関東|東アジア
足利将軍家,室町幕府,足利氏,室町幕府の将軍家,,CE,1338,1573,false,日本|近畿|東アジア
徳川将軍家,江戸幕府,徳川氏,江戸幕府の将軍家,,CE,1603,1868,false,日本|関東|東アジア
秦,秦,,中国統一王朝,,BCE,-221,-206,false,中国|華北|東アジア
漢,前漢|後漢,劉氏による王朝国家,,BCE,-202,220,false,中国|華北|華中|東アジア
唐,李唐,李氏による中国王朝,,CE,618,907,false,中国|華北|華中|東アジア
宋,北宋|南宋,趙氏による中国王朝,,CE,960,1279,false,中国|華北|江南|東アジア
元,大元,モンゴル系王朝,,CE,1271,1368,false,中国|モンゴル|東アジア
明,大明,漢民族王朝,,CE,1368,1644,false,中国|華北|江南|東アジア
清,大清,満洲系王朝,,CE,1636,1912,false,中国|満洲|華北|東アジア
高麗王朝,高麗,,高麗国家を統治した王朝,,CE,918,1392,false,朝鮮半島|東アジア
李氏朝鮮,朝鮮王朝,,朝鮮王朝を統治した王朝,,CE,1392,1897,false,朝鮮半島|東アジア
李朝ベトナム,大越,後黎朝,中後期ベトナムの主要王朝,,CE,1428,1789,false,ベトナム|東南アジア
陳朝,大越,,モンゴル侵攻を退けたベトナム王朝,,CE,1225,1400,false,ベトナム|東南アジア
アンコール朝,クメール帝国,,クメール帝国の代表的王朝区分,,CE,802,1431,false,カンボジア|東南アジア
パガン朝,パガン朝,,バガンを都とする王朝,,CE,849,1297,false,ミャンマー|東南アジア
アユタヤ朝,アユタヤ朝,,タイ中部王朝国家の支配王朝,,CE,1351,1767,false,タイ|東南アジア
マジャパヒト朝,マジャパヒト王国,,ジャワ島中心の王朝国家,,CE,1293,1527,false,マレー世界|東南アジア
マウリヤ朝,マウリヤ朝,マウリア朝,古代インドの統一王朝,,BCE,-322,-185,false,インド|南アジア
グプタ朝,グプタ朝,,古典期インドの王朝,,CE,320,550,false,インド|南アジア
ムガル朝,ムガル帝国,,ティムール系のイスラム王朝,,CE,1526,1858,false,インド|ベンガル|南アジア
デリー・スルタン朝,デリー・スルタン朝,,北インドのイスラム系王朝国家群,,CE,1206,1526,false,インド|南アジア
アケメネス朝,アケメネス朝ペルシア,,古代ペルシア王朝,,BCE,-550,-330,false,イラン|西アジア
サーサーン朝,サーサーン朝ペルシア,ササン朝,古代末期イラン王朝,,CE,224,651,false,イラン|西アジア
サファヴィー朝,サファヴィー朝,,近世イランのシーア派王朝,,CE,1501,1736,false,イラン|西アジア
ウマイヤ朝,ウマイヤ朝,,初期イスラム帝国王朝,,CE,661,750,false,レバント|アラビア|西アジア
アッバース朝,アッバース朝,,イスラム世界の代表的王朝,,CE,750,1258,false,メソポタミア|西アジア
セルジューク朝,セルジューク朝,,トルコ系王朝,,CE,1037,1194,false,イラン|アナトリア|西アジア
オスマン朝,オスマン帝国,オスマン家,オスマン帝国の支配王朝,,CE,1299,1922,false,アナトリア|東欧|西アジア
ファーティマ朝,ファーティマ朝,ファーティマ朝カリフ国,シーア派イスラム王朝,,CE,909,1171,false,エジプト|北アフリカ|西アジア
プトレマイオス朝,プトレマイオス朝エジプト,,ヘレニズム期エジプト王朝,,BCE,-305,-30,false,エジプト|北アフリカ
アケメネス朝エジプト,古代エジプト,,第一次ペルシア支配期などを含む便宜的区分,,BCE,-525,-404,true,エジプト|北アフリカ
ザグウェ朝,アクスム王国,,エチオピア高原の中世王朝区分,,CE,1137,1270,true,エチオピア高原|東アフリカ
ケイタ朝,マリ帝国,,マリ帝国の支配王朝,,CE,1235,1670,true,サヘル|西アフリカ
アスキア朝,ソンガイ帝国,,ソンガイ帝国後期の王朝,,CE,1493,1591,false,サヘル|西アフリカ
アルギアド朝,マケドニア王国,,アレクサンドロス大王を出した王朝,,BCE,-700,-309,true,ギリシア|マケドニア|ヨーロッパ
ユリウス＝クラウディウス朝,ローマ帝国,,初期ローマ皇帝家系,,BCE,-27,68,false,イタリア|ヨーロッパ
フラウィウス朝,ローマ帝国,,1世紀後半のローマ皇帝家系,,CE,69,96,false,イタリア|ヨーロッパ
ユスティニアヌス朝,東ローマ帝国,,便宜的な王朝区分として使用,,CE,518,610,true,アナトリア|ギリシア|ヨーロッパ
カロリング朝,フランク王国,,西欧中世初期の主要王朝,,CE,751,987,false,ガリア|ゲルマン地域|ヨーロッパ
カペー朝,フランス王国,,中世フランス王朝,,CE,987,1328,false,ガリア|イル＝ド＝フランス|ヨーロッパ
ヴァロワ朝,フランス王国,,百年戦争後期を含む王朝,,CE,1328,1589,false,ガリア|ヨーロッパ
ブルボン朝,フランス王国,,近世フランス王朝,,CE,1589,1792,false,ガリア|ヨーロッパ
ノルマン朝,イングランド王国,,1066年以後の王朝,,CE,1066,1154,false,イングランド|ブリテン諸島|ヨーロッパ
プランタジネット朝,イングランド王国,,中世イングランド王朝,,CE,1154,1485,false,イングランド|ブリテン諸島|ヨーロッパ
テューダー朝,イングランド王国,,宗教改革期を含む王朝,,CE,1485,1603,false,イングランド|ブリテン諸島|ヨーロッパ
ステュアート朝,グレートブリテン王国,,イングランドとスコットランドの統合期王朝,,CE,1603,1714,false,イングランド|スコットランド|ブリテン諸島|ヨーロッパ
ロマノフ朝,ロシア帝国,,ロシア帝国の支配王朝,,CE,1613,1917,false,モスクワ|東欧|シベリア
リューリク朝,キエフ大公国,リューリク家,ルーシ諸公国の支配家系,,CE,862,1598,true,キエフ|ルーシ|東欧
ハプスブルク家,神聖ローマ帝国,ハプスブルク朝,神聖ローマ帝国と周辺に強い影響を持つ家門,,CE,1273,1918,true,ゲルマン地域|東欧|ヨーロッパ
ブルガリアン・ボルジギン,元,ボルジギン家,モンゴル皇統としての家系区分,,CE,1206,1368,true,モンゴル|中国|東アジア
